crop_id,variety_id,soil_test_class,yield_target_t_ha,nutrient,rate_min,rate_max,canonical_unit,application_timing,geographic_scope,source_id,source_locator,curation_status,confidence
boro_rice,brri_dhan28,medium,6.0,N,47,92,kg/ha,"Three splits: basal/seedling establishment, early tillering, and 5-7 days before panicle initiation.",Bangladesh,barc_frg_2024,PDF page 87,human_reviewed,high
boro_rice,brri_dhan28,medium,6.0,P,6,10,kg/ha,Basal,Bangladesh,barc_frg_2024,PDF page 87,human_reviewed,high
boro_rice,brri_dhan28,medium,6.0,K,33,64,kg/ha,Basal,Bangladesh,barc_frg_2024,PDF page 87,human_reviewed,high
boro_rice,brri_dhan28,medium,6.0,S,6,10,kg/ha,Basal,Bangladesh,barc_frg_2024,PDF page 87,human_reviewed,high
boro_rice,brri_dhan28,medium,6.0,Zn,0,1,kg/ha,Basal,Bangladesh,barc_frg_2024,PDF page 87,human_reviewed,high
boro_rice,brri_dhan28,medium,6.0,organic_fertilizer,2,2,t/ha,Basal,Bangladesh,barc_frg_2024,PDF page 87,human_reviewed,high
boro_rice,brri_dhan29,medium,7.5,N,59,116,kg/ha,"Three splits: basal/seedling establishment, early tillering, and 5-7 days before panicle initiation.",Bangladesh,barc_frg_2024,PDF page 87,human_reviewed,high
boro_rice,brri_dhan29,medium,7.5,P,7,12,kg/ha,Basal,Bangladesh,barc_frg_2024,PDF page 87,human_reviewed,high
boro_rice,brri_dhan29,medium,7.5,K,41,80,kg/ha,Basal,Bangladesh,barc_frg_2024,PDF page 87,human_reviewed,high
boro_rice,brri_dhan29,medium,7.5,S,7,12,kg/ha,Basal,Bangladesh,barc_frg_2024,PDF page 87,human_reviewed,high
boro_rice,brri_dhan29,medium,7.5,Zn,0,1.3,kg/ha,Basal,Bangladesh,barc_frg_2024,PDF page 87,human_reviewed,high
boro_rice,brri_dhan29,medium,7.5,organic_fertilizer,2,2,t/ha,Basal,Bangladesh,barc_frg_2024,PDF page 87,human_reviewed,high
maize,all,medium,11.0,N,81,160,kg/ha,"Rabi: one-third basal; remaining N at 50-55 and 80-85 days after sowing.",Bangladesh,barc_frg_2024,PDF page 91,human_reviewed,high
maize,all,medium,11.0,P,19,36,kg/ha,Basal,Bangladesh,barc_frg_2024,PDF page 91,human_reviewed,high
maize,all,medium,11.0,K,46,90,kg/ha,Basal,Bangladesh,barc_frg_2024,PDF page 91,human_reviewed,high
maize,all,medium,11.0,S,13,24,kg/ha,Basal,Bangladesh,barc_frg_2024,PDF page 91,human_reviewed,high
maize,all,medium,11.0,Mg,6,10,kg/ha,Basal,Bangladesh,barc_frg_2024,PDF page 91,human_reviewed,high
maize,all,medium,11.0,Zn,0,2,kg/ha,Basal,Bangladesh,barc_frg_2024,PDF page 91,human_reviewed,high
maize,all,medium,11.0,B,0,1,kg/ha,Basal,Bangladesh,barc_frg_2024,PDF page 91,human_reviewed,high
maize,all,medium,11.0,organic_fertilizer,3,3,t/ha,Basal,Bangladesh,barc_frg_2024,PDF page 91,human_reviewed,high
lentil,all,medium,1.8,N,8,14,kg/ha,"All nutrients basal. If Rhizobium inoculant is used, the guide says no N is required.",Bangladesh,barc_frg_2024,PDF page 98,human_reviewed,high
lentil,all,medium,1.8,P,6,10,kg/ha,Basal,Bangladesh,barc_frg_2024,PDF page 98,human_reviewed,high
lentil,all,medium,1.8,K,9,16,kg/ha,Basal,Bangladesh,barc_frg_2024,PDF page 98,human_reviewed,high
lentil,all,medium,1.8,S,5,8,kg/ha,Basal,Bangladesh,barc_frg_2024,PDF page 98,human_reviewed,high
lentil,all,medium,1.8,Zn,0,1,kg/ha,Basal,Bangladesh,barc_frg_2024,PDF page 98,human_reviewed,high
lentil,all,medium,1.8,B,0,0.4,kg/ha,Basal,Bangladesh,barc_frg_2024,PDF page 98,human_reviewed,high
lentil,all,medium,1.8,Mo,0,0.4,kg/ha,Basal,Bangladesh,barc_frg_2024,PDF page 98,human_reviewed,high
lentil,all,medium,1.8,rhizobium_inoculant,1.5,1.5,kg/ha,"Seed inoculation; alternative source basis is 50 g per kg seed.",Bangladesh,barc_frg_2024,PDF page 98,human_reviewed,high
wheat,all,medium,4.5,N,41,80,kg/ha,"Irrigated culture: two-thirds basal at final land preparation; remaining one-third at 17-21 days after sowing following first irrigation.",Bangladesh,barc_frg_2024,PDF page 75,human_reviewed,high
wheat,all,medium,4.5,P,11,20,kg/ha,Basal,Bangladesh,barc_frg_2024,PDF page 75,human_reviewed,high
wheat,all,medium,4.5,K,31,60,kg/ha,Basal,Bangladesh,barc_frg_2024,PDF page 75,human_reviewed,high
wheat,all,medium,4.5,S,6,10,kg/ha,Basal,Bangladesh,barc_frg_2024,PDF page 75,human_reviewed,high
wheat,all,medium,4.5,Mg,0,4,kg/ha,Basal,Bangladesh,barc_frg_2024,PDF page 75,human_reviewed,high
wheat,all,medium,4.5,Zn,0,1.3,kg/ha,Basal,Bangladesh,barc_frg_2024,PDF page 75,human_reviewed,high
wheat,all,medium,4.5,B,0,1.0,kg/ha,Basal,Bangladesh,barc_frg_2024,PDF page 75,human_reviewed,high
wheat,all,medium,4.5,organic_fertilizer,2,2,t/ha,Basal,Bangladesh,barc_frg_2024,PDF page 75,human_reviewed,high
