crop_id,item_type,item,quantity_per_acre,quantity_unit,unit_price_bdt,cost_per_acre_bdt,basis_date,geographic_scope,editable,source_id,source_locator,curation_status,safety_status
boro_rice,input,seed,12,kg,80,960,2026-07-24,Bangladesh,true,project_demo_assumptions,Editable demo assumption v1,human_reviewed,provisional
boro_rice,input,fertilizer_bundle,1,acre,9000,9000,2026-07-24,Bangladesh,true,project_demo_assumptions,Editable demo assumption v1,human_reviewed,provisional
boro_rice,input,labor,10,person_day,700,7000,2026-07-24,Bangladesh,true,project_demo_assumptions,Editable demo assumption v1,human_reviewed,provisional
boro_rice,input,irrigation,1,acre,7000,7000,2026-07-24,Bangladesh,true,project_demo_assumptions,Editable demo assumption v1,human_reviewed,provisional
boro_rice,input,other,1,acre,3000,3000,2026-07-24,Bangladesh,true,project_demo_assumptions,Editable demo assumption v1,human_reviewed,provisional
boro_rice,output,farmgate_sale_price,1,kg,30,0,2026-07-24,Bangladesh,true,project_demo_assumptions,Editable demo assumption v1,human_reviewed,provisional
maize,input,seed,8,kg,600,4800,2026-07-24,Bangladesh,true,project_demo_assumptions,Editable demo assumption v1,human_reviewed,provisional
maize,input,fertilizer_bundle,1,acre,12000,12000,2026-07-24,Bangladesh,true,project_demo_assumptions,Editable demo assumption v1,human_reviewed,provisional
maize,input,labor,8,person_day,700,5600,2026-07-24,Bangladesh,true,project_demo_assumptions,Editable demo assumption v1,human_reviewed,provisional
maize,input,irrigation,1,acre,5000,5000,2026-07-24,Bangladesh,true,project_demo_assumptions,Editable demo assumption v1,human_reviewed,provisional
maize,input,other,1,acre,2500,2500,2026-07-24,Bangladesh,true,project_demo_assumptions,Editable demo assumption v1,human_reviewed,provisional
maize,output,farmgate_sale_price,1,kg,25,0,2026-07-24,Bangladesh,true,project_demo_assumptions,Editable demo assumption v1,human_reviewed,provisional
lentil,input,seed,13,kg,180,2340,2026-07-24,Bangladesh,true,project_demo_assumptions,Editable demo assumption v1,human_reviewed,provisional
lentil,input,fertilizer_bundle,1,acre,4000,4000,2026-07-24,Bangladesh,true,project_demo_assumptions,Editable demo assumption v1,human_reviewed,provisional
lentil,input,labor,6,person_day,700,4200,2026-07-24,Bangladesh,true,project_demo_assumptions,Editable demo assumption v1,human_reviewed,provisional
lentil,input,irrigation,1,acre,1500,1500,2026-07-24,Bangladesh,true,project_demo_assumptions,Editable demo assumption v1,human_reviewed,provisional
lentil,input,other,1,acre,1800,1800,2026-07-24,Bangladesh,true,project_demo_assumptions,Editable demo assumption v1,human_reviewed,provisional
lentil,output,farmgate_sale_price,1,kg,100,0,2026-07-24,Bangladesh,true,project_demo_assumptions,Editable demo assumption v1,human_reviewed,provisional
wheat,input,seed,48,kg,50,2400,2026-07-24,Bangladesh,true,project_demo_assumptions,Editable demo assumption v1,human_reviewed,provisional
wheat,input,fertilizer_bundle,1,acre,7000,7000,2026-07-24,Bangladesh,true,project_demo_assumptions,Editable demo assumption v1,human_reviewed,provisional
wheat,input,labor,8,person_day,700,5600,2026-07-24,Bangladesh,true,project_demo_assumptions,Editable demo assumption v1,human_reviewed,provisional
wheat,input,irrigation,1,acre,3000,3000,2026-07-24,Bangladesh,true,project_demo_assumptions,Editable demo assumption v1,human_reviewed,provisional
wheat,input,other,1,acre,2000,2000,2026-07-24,Bangladesh,true,project_demo_assumptions,Editable demo assumption v1,human_reviewed,provisional
wheat,output,farmgate_sale_price,1,kg,32,0,2026-07-24,Bangladesh,true,project_demo_assumptions,Editable demo assumption v1,human_reviewed,provisional
